PID,A_AREA,A_SQ1,A_SQ2,A_AGE,A_SQ3,A_Q1,A_Q2,A_Q2_1,A_Q2_2,A_Q3,A_Q4,A_Q5,A_Q6,A_GUBUN,WT1
3101020,8,8,1,20,2,1,2,,1.0,1,1,7,3,2,1.0
3101024,8,8,1,19,2,2,3,,,2,1,7,1,1,1.0
3101062,8,8,1,24,2,1,3,,,2,3,7,98,2,1.0
3101068,8,8,1,24,2,1,2,,1.0,1,3,5,2,2,1.0
3101095,8,8,1,23,2,1,3,,,1,3,3,2,2,1.0
3103023,8,8,1,35,3,1,2,,3.0,3,1,5,4,2,1.0
3103047,8,8,1,38,3,1,2,,1.0,2,3,5,98,2,1.0
3103069,8,8,1,35,3,1,3,,,2,3,4,98,2,1.0
3103083,8,8,1,30,3,1,2,,2.0,2,3,5,1,2,1.0
3103111,8,8,1,33,3,1,2,,2.0,2,3,5,99,2,1.0
3104065,8,8,2,37,3,1,3,,,3,3,6,1,2,0.99
3105010,8,8,1,46,4,1,2,,3.0,1,1,2,1,2,1.0
3105029,8,8,1,45,4,1,2,,4.0,2,1,5,5,2,1.0
3105104,8,8,1,46,4,1,2,,2.0,1,3,5,98,2,1.0
3105142,8,8,1,40,4,1,3,,,2,3,5,1,2,1.0
3106002,8,8,2,46,4,2,3,,,1,1,2,98,2,1.0
3106054,8,8,2,45,4,2,3,,,9,3,6,5,2,1.0
3106073,8,8,2,45,4,1,2,,4.0,2,3,6,3,2,1.0
3106089,8,8,2,43,4,1,2,,4.0,2,3,5,98,1,1.0
3107008,8,8,1,55,5,1,2,,4.0,1,1,5,98,2,1.0
3107039,8,8,1,53,5,1,2,,2.0,2,1,4,98,2,1.0
3107046,8,8,1,52,5,1,2,,2.0,2,1,2,98,2,1.0
3107053,8,8,1,54,5,1,2,,2.0,2,1,2,98,2,1.0
3107096,8,8,1,58,5,1,2,,3.0,2,3,2,2,2,1.0
3107136,8,8,1,58,5,1,2,,1.0,2,3,3,1,2,1.0
3107159,8,8,1,52,5,1,3,,,3,3,5,1,1,1.0
3108023,8,8,2,51,5,1,3,,,2,1,5,1,1,1.0
3108024,8,8,2,50,5,1,2,,3.0,2,1,6,2,1,1.0
3108050,8,8,2,55,5,1,2,,1.0,1,3,3,98,2,1.0
3108082,8,8,2,53,5,1,3,,,2,3,5,1,2,1.0
3109014,8,8,1,63,6,1,2,,2.0,2,1,5,1,2,1.01
3109016,8,8,1,71,6,1,3,,,2,1,8,98,2,1.01
3109035,8,8,1,66,6,1,2,,2.0,2,1,2,2,2,1.01
3109038,8,8,1,65,6,1,2,,2.0,2,1,8,4,2,1.01
3109068,8,8,1,69,6,1,2,,5.0,3,1,8,98,1,1.01
3109069,8,8,1,65,6,1,2,,3.0,3,1,2,99,1,1.01
3109125,8,8,1,70,6,1,2,,4.0,2,3,2,2,2,1.01
3110003,8,8,2,65,6,1,2,,4.0,2,1,6,2,2,0.99
3110010,8,8,2,76,6,1,2,,2.0,2,1,6,2,2,0.99
3110024,8,8,2,65,6,1,2,,4.0,1,1,2,1,1,0.99
3110029,8,8,2,63,6,1,2,,2.0,1,1,6,98,1,0.99
3110051,8,8,2,61,6,1,2,,2.0,2,3,6,6,2,0.99
3110071,8,8,2,60,6,1,2,,2.0,2,3,6,98,2,0.99
3110075,8,8,2,65,6,1,2,,3.0,2,3,6,2,2,0.99
3110079,8,8,2,60,6,1,3,,,2,3,3,98,2,0.99
3110094,8,8,2,64,6,1,3,,,9,3,6,1,1,0.99
3110106,8,8,2,75,6,1,2,,4.0,2,3,6,3,1,0.99
3201002,9,9,1,23,2,1,3,,,3,1,7,98,2,0.99
3205009,9,9,1,40,4,1,2,,3.0,3,3,5,1,2,1.01
3207008,9,9,1,55,5,1,2,,2.0,1,1,4,98,2,1.0
3209006,9,9,1,62,6,1,2,,3.0,2,1,8,98,2,0.94
3303002,10,10,1,39,3,1,2,,2.0,2,1,5,98,2,1.0
3307001,10,10,1,58,5,1,2,,4.0,2,1,2,2,2,0.99
